nr,node,latitude,longitude
186,1786458,63.46398750,11.16994110
187,1786457,63.46434730,11.16757470
188,1786456,63.46455420,11.16614940
189,1786455,63.46461480,11.16572720
190,1786454,63.46549920,11.15964190
191,1786453,63.46552370,11.15947140
192,1786452,63.46565190,11.15853110
193,1786451,63.46602390,11.15413330
194,1786450,63.46635280,11.14482180
195,1786449,63.46623790,11.14242340
196,1786448,63.46611160,11.14019630
197,1786447,63.46605750,11.13917500
198,1786445,63.46600140,11.13709040
199,1786444,63.46544870,11.12728160
200,1786443,63.46532190,11.12583950
201,1786442,63.46504230,11.12324900
202,1786441,63.46476140,11.12121210
203,1786440,63.46458800,11.12007210
204,1786439,63.46416440,11.11736060
205,1786438,63.46400180,11.11619960
206,1855442,63.46384120,11.11448930
207,1340264,63.46312050,11.11456170
208,1340263,63.46309650,11.11301820
209,1340231,63.46281630,11.11305830
210,1340290,63.46215980,11.11321740
211,1340289,63.46050790,11.11373540
212,1340293,63.46041560,11.11497010
213,6438740,63.46066090,11.11302370
214,6438656,63.46085440,11.11078230
215,6438727,63.46084560,11.10484030
216,4958769,63.46083510,11.10408940
217,6438647,63.46082300,11.10308770
218,6438645,63.46116840,11.10223070
219,6438646,63.46138580,11.10075100
220,6438649,63.46074550,11.09572490
221,6438652,63.46050720,11.09273210
222,6438651,63.46043490,11.09267890
223,6438715,63.45911600,11.09388140
224,6438714,63.45898610,11.09473010
225,6438737,63.45888070,11.09450820
226,1340400,63.45843110,11.09352830
227,1340399,63.45499070,11.08730930
228,1340398,63.45479640,11.08646910
229,1340397,63.45119950,11.08013300
230,1340396,63.45135920,11.07860030
231,1340395,63.45187910,11.07224950
232,1340394,63.45170940,11.06971290
233,1340393,63.45167060,11.06900150
234,1340392,63.45164140,11.06763980
235,1340391,63.45163000,11.06670630
236,1340390,63.45159670,11.06364910
237,1340389,63.45093350,11.05836490
238,1340388,63.45090640,11.05748670
239,1340387,63.45074150,11.05572610
240,1340386,63.45070020,11.05547310
241,1340385,63.45061400,11.04885740
242,1340384,63.45067470,11.04788590
243,1340383,63.45068560,11.03524110
244,1340382,63.45106880,11.02514230
245,2084109,63.44808580,11.02710950
246,2084110,63.44762490,11.02754690
247,2084111,63.44749240,11.02774460
248,6587797,63.44418660,11.02496090
249,2156119,63.44248380,11.02094130
250,2300486,63.44102240,11.01825690
251,6589333,63.44004590,11.01773350
252,2080537,63.43953450,11.01750510
253,2080500,63.43757860,11.01685580
254,2080490,63.43615730,11.00166290
255,2080489,63.43720340,10.99784750
256,2080488,63.43785920,10.99628870
257,2080487,63.43844090,10.98963150
258,2080486,63.43890020,10.98768020
259,2080485,63.43900210,10.98740680
260,2080484,63.44075830,10.98206390
261,2080483,63.44209700,10.97827180
262,2080482,63.44211970,10.97820360
263,2080481,63.44234200,10.97755140
264,2080480,63.44368430,10.97317280
265,2080479,63.44476950,10.97058750
266,1918863,63.44511210,10.96928300
267,1918864,63.44567290,10.98285970
268,1918865,63.44657130,10.98618740
269,1340406,63.44793960,10.99348530
270,1340405,63.44813030,10.99313330
271,1340410,63.44863690,10.99215710
272,1340602,63.44881350,10.99181600
273,1340601,63.44941050,10.98891700
274,1340411,63.44972500,10.98687170
275,1340412,63.45203240,10.98793180
276,6587389,63.45378550,10.98911320
277,6587390,63.45474400,10.98907580
278,6587391,63.45874820,10.99010960
279,6587392,63.46082560,10.99037690
280,6588319,63.46141820,10.98712170
281,6588344,63.46198450,10.98493210
282,4767314,63.46348900,10.97909430
283,4767313,63.46241620,10.97798950
